Date,City,Customer_type,Gender,Product line,Prix unitaire,Quantité,Total,Coût,Gain,Rating
18/02/2018,Yangon,Normal,Male,Electronic accessories,74.58,7,548.163,522.06,26.103,9
19/02/2018,Naypyitaw,Member,Female,Fashion accessories,82.63,10,867.615,826.3,41.315,7.9
19/02/2018,Yangon,Normal,Female,Sports and travel,93.14,2,195.594,186.28,9.314,4.1
19/02/2018,Naypyitaw,Normal,Male,Electronic accessories,71.89,8,603.876,575.12,28.756,5.5
20/02/2018,Naypyitaw,Member,Male,Food and beverages,91.4,7,671.79,639.8,31.99,9.5
20/02/2018,Naypyitaw,Normal,Male,Health and beauty,17.41,5,91.4025,87.05,4.3525,4.9
20/02/2018,Naypyitaw,Normal,Female,Health and beauty,10.99,5,57.6975,54.95,2.7475,9.3
21/02/2018,Yangon,Member,Female,Food and beverages,44.59,5,234.0975,222.95,11.1475,8.5
21/02/2018,Naypyitaw,Member,Female,Fashion accessories,44.22,5,232.155,221.1,11.055,8.6
21/02/2018,Naypyitaw,Member,Male,Health and beauty,60.47,3,190.4805,181.41,9.0705,5.6
22/02/2018,Mandalay,Member,Female,Fashion accessories,17.87,4,75.054,71.48,3.574,6.5
22/02/2018,Mandalay,Member,Female,Electronic accessories,13.22,5,69.405,66.1,3.305,4.3
22/02/2018,Yangon,Normal,Male,Sports and travel,58.91,7,432.9885,412.37,20.6185,9.7
23/02/2018,Naypyitaw,Member,Male,Fashion accessories,15.43,1,16.2015,15.43,0.7715,6.1
23/02/2018,Yangon,Normal,Male,Fashion accessories,89.69,1,94.1745,89.69,4.4845,4.9
23/02/2018,Yangon,Normal,Male,Fashion accessories,46.41,1,48.7305,46.41,2.3205,4
24/02/2018,Mandalay,Normal,Female,Home and lifestyle,16.16,2,33.936,32.32,1.616,6.5
24/02/2018,Yangon,Normal,Male,Food and beverages,24.94,9,235.683,224.46,11.223,5.6
24/02/2018,Naypyitaw,Member,Male,Health and beauty,68.55,4,287.91,274.2,13.71,9.2
25/02/2018,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,722.232,687.84,34.392,8.2
25/02/2018,Yangon,Normal,Male,Health and beauty,59.77,2,125.517,119.54,5.977,5.8
25/02/2018,Mandalay,Normal,Female,Home and lifestyle,97.37,10,1022.385,973.7,48.685,4.9
26/02/2018,Yangon,Member,Female,Home and lifestyle,44.34,2,93.114,88.68,4.434,5.8
26/02/2018,Naypyitaw,Member,Male,Fashion accessories,93.2,2,195.72,186.4,9.32,6
26/02/2018,Yangon,Member,Male,Electronic accessories,92.6,7,680.61,648.2,32.41,9.3
27/02/2018,Yangon,Normal,Female,Health and beauty,89.6,8,752.64,716.8,35.84,6.6
27/02/2018,Yangon,Member,Male,Home and lifestyle,62.65,4,263.13,250.6,12.53,4.2
27/02/2018,Yangon,Normal,Female,Electronic accessories,46.61,2,97.881,93.22,4.661,6.6
28/02/2018,Yangon,Member,Female,Home and lifestyle,72.35,10,759.675,723.5,36.175,5.4
28/02/2018,Mandalay,Normal,Male,Home and lifestyle,93.87,8,788.508,750.96,37.548,8.3
28/02/2018,Mandalay,Normal,Male,Fashion accessories,27.18,2,57.078,54.36,2.718,4.3
01/03/2018,Naypyitaw,Normal,Female,Electronic accessories,30.61,6,192.843,183.66,9.183,9.3
01/03/2018,Yangon,Member,Male,Home and lifestyle,47.59,8,399.756,380.72,19.036,5.7
01/03/2018,Naypyitaw,Member,Female,Home and lifestyle,60.87,1,63.9135,60.87,3.0435,5.5
02/03/2018,Naypyitaw,Member,Female,Sports and travel,24.74,3,77.931,74.22,3.711,10
02/03/2018,Mandalay,Member,Female,Electronic accessories,81.4,3,256.41,244.2,12.21,4.8
02/03/2018,Yangon,Member,Female,Sports and travel,24.49,10,257.145,244.9,12.245,8.1
03/03/2018,Naypyitaw,Normal,Female,Home and lifestyle,55.73,6,351.099,334.38,16.719,7
03/03/2018,Yangon,Member,Male,Fashion accessories,17.94,5,94.185,89.7,4.485,6.8
03/03/2018,Mandalay,Normal,Male,Health and beauty,92.78,1,97.419,92.78,4.639,9.8
04/03/2018,Mandalay,Member,Female,Sports and travel,55.07,9,520.4115,495.63,24.7815,10
04/03/2018,Yangon,Member,Male,Electronic accessories,77.72,4,326.424,310.88,15.544,8.8
04/03/2018,Naypyitaw,Member,Male,Home and lifestyle,86.69,5,455.1225,433.45,21.6725,9.4
05/03/2018,Yangon,Member,Female,Sports and travel,15.81,10,166.005,158.1,7.905,8.6
05/03/2018,Mandalay,Normal,Male,Food and beverages,73.06,7,536.991,511.42,25.571,4.2
05/03/2018,Mandalay,Normal,Male,Sports and travel,23.01,6,144.963,138.06,6.903,7.9
06/03/2018,Mandalay,Member,Female,Health and beauty,75.74,4,318.108,302.96,15.148,7.6
06/03/2018,Mandalay,Member,Male,Food and beverages,46.55,9,439.8975,418.95,20.9475,6.4
06/03/2018,Naypyitaw,Member,Female,Electronic accessories,30.2,8,253.68,241.6,12.08,5.1
07/03/2018,Yangon,Member,Female,Health and beauty,15.87,10,166.635,158.7,7.935,5.8
07/03/2018,Naypyitaw,Member,Male,Fashion accessories,35.19,10,369.495,351.9,17.595,8.4
07/03/2018,Naypyitaw,Member,Male,Fashion accessories,67.39,7,495.3165,471.73,23.5865,6.9
08/03/2018,Naypyitaw,Normal,Female,Health and beauty,33.47,2,70.287,66.94,3.347,6.7
08/03/2018,Naypyitaw,Normal,Female,Sports and travel,14.39,2,30.219,28.78,1.439,7.2
08/03/2018,Yangon,Member,Female,Fashion accessories,48.96,9,462.672,440.64,22.032,8
09/03/2018,Mandalay,Member,Female,Fashion accessories,97.61,6,614.943,585.66,29.283,9.9
09/03/2018,Yangon,Normal,Male,Home and lifestyle,23.75,4,99.75,95,4.75,5.2
09/03/2018,Mandalay,Member,Female,Electronic accessories,75.59,9,714.3255,680.31,34.0155,8
10/03/2018,Yangon,Normal,Female,Sports and travel,78.77,10,827.085,787.7,39.385,6.4
10/03/2018,Yangon,Member,Male,Home and lifestyle,58.9,8,494.76,471.2,23.56,8.9
10/03/2018,Yangon,Normal,Female,Home and lifestyle,77.47,4,325.374,309.88,15.494,4.2
11/03/2018,Yangon,Member,Female,Health and beauty,18.33,1,19.2465,18.33,0.9165,4.3
11/03/2018,Mandalay,Member,Male,Fashion accessories,32.62,4,137.004,130.48,6.524,9
11/03/2018,Yangon,Normal,Female,Sports and travel,93.18,2,195.678,186.36,9.318,8.5
12/03/2018,Naypyitaw,Normal,Female,Food and beverages,89.48,10,939.54,894.8,44.74,9.6
12/03/2018,Yangon,Member,Male,Electronic accessories,66.35,1,69.6675,66.35,3.3175,9.7
12/03/2018,Yangon,Normal,Female,Electronic accessories,50.23,4,210.966,200.92,10.046,9
13/03/2018,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,652.26,621.2,31.06,5.9
13/03/2018,Yangon,Member,Male,Home and lifestyle,25.91,6,163.233,155.46,7.773,8.7
13/03/2018,Mandalay,Normal,Female,Health and beauty,17.75,1,18.6375,17.75,0.8875,8.6
14/03/2018,Mandalay,Member,Female,Food and beverages,48.52,3,152.838,145.56,7.278,4
14/03/2018,Yangon,Member,Male,Electronic accessories,32.25,4,135.45,129,6.45,6.5
14/03/2018,Naypyitaw,Normal,Female,Fashion accessories,62.18,10,652.89,621.8,31.09,6
15/03/2018,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,478.233,455.46,22.773,8.7
15/03/2018,Naypyitaw,Member,Male,Electronic accessories,65.94,4,276.948,263.76,13.188,6.9
15/03/2018,Mandalay,Normal,Male,Health and beauty,10.75,8,90.3,86,4.3,6.2
16/03/2018,Yangon,Normal,Male,Home and lifestyle,74.67,9,705.6315,672.03,33.6015,9.4
16/03/2018,Yangon,Normal,Female,Electronic accessories,75.06,9,709.317,675.54,33.777,6.2
16/03/2018,Yangon,Normal,Female,Electronic accessories,40.26,10,422.73,402.6,20.13,5
17/03/2018,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,437.325,416.5,20.825,5.4
17/03/2018,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,69.09,65.8,3.29,5.6
17/03/2018,Naypyitaw,Member,Female,Sports and travel,64.97,5,341.0925,324.85,16.2425,6.5
18/03/2018,Naypyitaw,Member,Male,Fashion accessories,49.04,9,463.428,441.36,22.068,8.6
18/03/2018,Mandalay,Member,Female,Fashion accessories,38.3,4,160.86,153.2,7.66,5.7
18/03/2018,Yangon,Normal,Male,Electronic accessories,95.15,1,99.9075,95.15,4.7575,6
19/03/2018,Yangon,Member,Female,Fashion accessories,20.01,9,189.0945,180.09,9.0045,5.7
19/03/2018,Yangon,Member,Female,Sports and travel,22.24,10,233.52,222.4,11.12,4.2
19/03/2018,Yangon,Member,Female,Electronic accessories,48.62,8,408.408,388.96,19.448,5
20/03/2018,Naypyitaw,Member,Female,Food and beverages,78.31,10,822.255,783.1,39.155,6.6
20/03/2018,Mandalay,Normal,Male,Sports and travel,54.45,1,57.1725,54.45,2.7225,7.9
20/03/2018,Mandalay,Normal,Female,Food and beverages,53.21,8,446.964,425.68,21.284,5
21/03/2018,Naypyitaw,Normal,Female,Health and beauty,20.38,5,106.995,101.9,5.095,6
21/03/2018,Yangon,Member,Female,Sports and travel,98.4,7,723.24,688.8,34.44,8.7
21/03/2018,Naypyitaw,Normal,Female,Fashion accessories,45.44,7,333.984,318.08,15.904,9.2
22/03/2018,Naypyitaw,Normal,Female,Health and beauty,99.19,6,624.897,595.14,29.757,5.5
22/03/2018,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,148.974,141.88,7.094,6.9
22/03/2018,Yangon,Normal,Male,Food and beverages,33.88,8,284.592,271.04,13.552,9.6
23/03/2018,Mandalay,Normal,Female,Food and beverages,96.68,3,304.542,290.04,14.502,6.4
23/03/2018,Mandalay,Member,Female,Food and beverages,74.6,10,783.3,746,37.3,9.5
23/03/2018,Mandalay,Member,Male,Health and beauty,96.16,4,403.872,384.64,19.232,8.4
24/03/2018,Naypyitaw,Normal,Male,Food and beverages,19.25,8,161.7,154,7.7,6.6
24/03/2018,Yangon,Member,Male,Home and lifestyle,70.74,4,297.108,282.96,14.148,4.4
24/03/2018,Mandalay,Member,Male,Food and beverages,47.16,5,247.59,235.8,11.79,6
25/03/2018,Naypyitaw,Member,Female,Food and beverages,80.36,4,337.512,321.44,16.072,8.3
25/03/2018,Yangon,Member,Female,Home and lifestyle,35.54,10,373.17,355.4,17.77,7
25/03/2018,Mandalay,Normal,Male,Electronic accessories,52.89,4,222.138,211.56,10.578,6.7
26/03/2018,Naypyitaw,Member,Male,Sports and travel,48.91,5,256.7775,244.55,12.2275,6.6
26/03/2018,Mandalay,Normal,Female,Sports and travel,67.43,5,354.0075,337.15,16.8575,6.3
26/03/2018,Yangon,Member,Female,Home and lifestyle,47.68,2,100.128,95.36,4.768,4.1
27/03/2018,Naypyitaw,Normal,Female,Sports and travel,83.06,7,610.491,581.42,29.071,4
27/03/2018,Naypyitaw,Member,Female,Health and beauty,21.12,2,44.352,42.24,2.112,9.7
27/03/2018,Naypyitaw,Member,Male,Sports and travel,10.17,1,10.6785,10.17,0.5085,5.9
28/03/2018,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,401.73,382.6,19.13,9.9
28/03/2018,Yangon,Member,Female,Home and lifestyle,21.54,9,203.553,193.86,9.693,8.8
28/03/2018,Yangon,Normal,Female,Health and beauty,68.71,3,216.4365,206.13,10.3065,8.7
29/03/2018,Yangon,Member,Male,Food and beverages,49.38,7,362.943,345.66,17.283,7.3
29/03/2018,Yangon,Normal,Female,Home and lifestyle,12.03,2,25.263,24.06,1.203,5.1
29/03/2018,Mandalay,Member,Female,Sports and travel,60.08,7,441.588,420.56,21.028,4.5
30/03/2018,Yangon,Normal,Male,Sports and travel,42.47,1,44.5935,42.47,2.1235,5.7
30/03/2018,Mandalay,Normal,Female,Health and beauty,99.71,6,628.173,598.26,29.913,7.9
30/03/2018,Yangon,Member,Female,Sports and travel,22.01,4,92.442,88.04,4.402,6.6
31/03/2018,Mandalay,Normal,Female,Health and beauty,76.99,6,485.037,461.94,23.097,6.1
31/03/2018,Mandalay,Normal,Male,Fashion accessories,47.97,7,352.5795,335.79,16.7895,6.2
31/03/2018,Mandalay,Member,Female,Health and beauty,72.11,9,681.4395,648.99,32.4495,7.7
01/04/2018,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,198.996,189.52,9.476,7.1
01/04/2018,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,229.11,218.2,10.91,7.1
01/04/2018,Yangon,Member,Male,Fashion accessories,41.28,3,130.032,123.84,6.192,8.5
02/04/2018,Naypyitaw,Normal,Female,Sports and travel,44.86,10,471.03,448.6,22.43,8.2
02/04/2018,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,400.764,381.68,19.084,6.4
02/04/2018,Naypyitaw,Normal,Male,Electronic accessories,64.95,10,681.975,649.5,32.475,5.2
03/04/2018,Yangon,Member,Female,Sports and travel,21.98,7,161.553,153.86,7.693,5.1
03/04/2018,Naypyitaw,Member,Male,Fashion accessories,70.99,10,745.395,709.9,35.495,5.7
03/04/2018,Yangon,Member,Female,Electronic accessories,74.22,10,779.31,742.2,37.11,4.3
